wind_code,date,time,index,function_code,order_kind,bs_flag,trade_price,trade_volume,ask_order,bid_order
000629.SZ,20200327,93045700,894681,0,0,S,22600,100,894668,715158
000629.SZ,20200327,93045740,894909,0,0,S,22600,2900,894908,715158
000629.SZ,20200327,93045740,894910,0,0,S,22600,100,894908,715724
000629.SZ,20200327,93045740,894911,0,0,S,22600,1600,894908,716327
000629.SZ,20200327,93046160,897859,C,0,0,0,20000,0,557800
000629.SZ,20200327,93046860,901604,0,0,S,22600,2200,901603,716327
000629.SZ,20200327,93047680,905386,0,0,S,22600,1500,905385,716327
000629.SZ,20200327,93047680,905387,0,0,S,22600,1800,905385,758514
000629.SZ,20200327,93047680,905388,0,0,S,22600,800,905385,793215
000629.SZ,20200327,93047680,905389,0,0,S,22600,4500,905385,808030
000629.SZ,20200327,93047680,905390,0,0,S,22600,100,905385,811743
000629.SZ,20200327,93047680,905391,0,0,S,22600,7300,905385,820799
000629.SZ,20200327,93048730,910218,0,0,S,22600,6400,910217,820799
000629.SZ,20200327,93048730,910219,0,0,S,22600,500,910217,861743
000629.SZ,20200327,93048990,912167,0,0,S,22600,6400,912166,861743
000629.SZ,20200327,93048990,912168,0,0,S,22600,500,912166,886452
000629.SZ,20200327,93051360,923559,0,0,B,22600,400,912199,923558
000629.SZ,20200327,93051590,924453,C,0,0,0,200,746407,0
000629.SZ,20200327,93051590,924454,C,0,0,0,300,746404,0
000629.SZ,20200327,93051590,924455,C,0,0,0,500,746405,0
000629.SZ,20200327,93051590,924457,C,0,0,0,500,746406,0
000629.SZ,20200327,93051590,924471,C,0,0,0,300,746403,0
000629.SZ,20200327,93051670,924963,C,0,0,0,10000,0,583250
000629.SZ,20200327,93051670,924978,C,0,0,0,2100,452547,0
000629.SZ,20200327,93051670,924985,C,0,0,0,1300,452001,0
000629.SZ,20200327,93051950,926661,C,0,0,0,400,747484,0
000629.SZ,20200327,93054680,939488,C,0,0,0,50000,709187,0
000629.SZ,20200327,93055900,946739,C,0,0,0,71700,197123,0
000629.SZ,20200327,93055940,946954,C,0,0,0,71600,194820,0
000629.SZ,20200327,93102960,986671,0,0,B,22600,1000,912199,986670
000629.SZ,20200327,93104150,994455,C,0,0,0,7000,681282,0
000629.SZ,20200327,93111950,1035628,0,0,S,22500,1100,1035627,12202
000629.SZ,20200327,93118220,1066868,C,0,0,0,25000,161067,0
000629.SZ,20200327,93120950,1079417,C,0,0,0,200,0,707912
000629.SZ,20200327,93121650,1082396,C,0,0,0,700,795720,0
000629.SZ,20200327,93121680,1082533,C,0,0,0,700,795746,0
000629.SZ,20200327,93121680,1082558,C,0,0,0,2300,795708,0
000629.SZ,20200327,93121690,1082591,C,0,0,0,800,795790,0
000629.SZ,20200327,93125610,1101590,C,0,0,0,4600,0,128056
000629.SZ,20200327,93127200,1107105,C,0,0,0,6600,315016,0
000629.SZ,20200327,93128530,1113620,0,0,S,22500,10000,1113619,12202
000629.SZ,20200327,93129330,1116709,C,0,0,0,7500,709760,0
000629.SZ,20200327,93129920,1118872,0,0,S,22500,10000,1118871,12202
000629.SZ,20200327,93131550,1126272,C,0,0,0,1000,746398,0
000629.SZ,20200327,93132130,1128535,0,0,B,22600,4600,912199,1128534
000629.SZ,20200327,93132130,1128536,0,0,B,22600,4500,921805,1128534
000629.SZ,20200327,93132830,1131114,C,0,0,0,7600,846529,0
000629.SZ,20200327,93134420,1138676,C,0,0,0,30000,793726,0
000629.SZ,20200327,93134430,1138693,C,0,0,0,100000,0,546219
000629.SZ,20200327,93135650,1143009,C,0,0,0,30000,270459,0
000629.SZ,20200327,93136120,1144647,C,0,0,0,4600,531225,0
000629.SZ,20200327,93136680,1146774,C,0,0,0,3000,183515,0
000629.SZ,20200327,93137940,1152983,C,0,0,0,500,114460,0
000629.SZ,20200327,93138100,1153525,C,0,0,0,20000,267207,0
000629.SZ,20200327,93138790,1155990,C,0,0,0,1000,815869,0
000629.SZ,20200327,93140490,1163634,C,0,0,0,50000,262196,0
000629.SZ,20200327,93144070,1178283,0,0,S,22500,500,1178282,12202
000629.SZ,20200327,93145380,1183019,0,0,B,22600,1000,921805,1183018
