,time,order,order_kind,function_code,order_price,order_volume
1230,93033230,826061,0,S,22700,10000
1231,93033810,829175,0,S,22600,1000
1232,93034380,833544,0,B,22400,1000
1233,93034750,835656,0,S,22700,10000
1234,93035170,837668,0,S,22700,1500
1235,93036310,843305,0,S,22600,3900
1236,93036600,844880,0,S,22600,12300
1237,93036600,844883,0,S,22600,5500
1238,93036840,846529,0,S,22700,7600
1239,93036850,846599,0,S,23400,10000
1240,93037050,848120,0,S,22600,300
1241,93037210,849622,0,S,24800,191400
1242,93037490,851561,0,S,22800,2500
1243,93037510,851666,0,B,22300,1000
1244,93037640,852316,1,S,0,9900
1245,93038810,858063,0,S,23200,8400
1246,93039060,859034,0,S,23000,5000
1247,93039150,859433,0,S,23200,21400
1248,93039610,861736,0,S,22600,5700
1249,93039610,861743,0,B,22600,6900
1250,93042070,875564,0,S,22700,39300
1251,93042260,876440,0,S,22700,10200
1252,93042320,876802,0,S,22600,100000
1253,93043060,881652,0,B,22400,2000
1254,93043540,884835,0,S,23300,6000
1255,93043650,885311,0,S,22700,13300
1256,93043910,886452,0,B,22600,500
1257,93044680,889796,0,S,22800,5000
1258,93045680,894529,0,S,22600,12500
1259,93045700,894662,0,S,22600,12500
1260,93045700,894668,0,S,22600,61600
1261,93045740,894908,0,S,22600,4600
1262,93046860,901603,1,S,0,2200
1263,93047070,902607,0,S,23000,500
1264,93047680,905385,0,S,22600,16000
1265,93048160,907490,0,S,23500,1300
1266,93048730,910217,0,S,22600,6900
1267,93048940,911726,0,B,22300,15700
1268,93048990,912166,0,S,22600,6900
1269,93048990,912199,0,S,22600,6000
1270,93049390,914879,0,S,22700,20000
1271,93049470,915314,0,S,23500,24000
1272,93050960,921805,0,S,22600,49100
1273,93051360,923558,0,B,22700,400
1274,93051590,924469,0,S,22600,147300
1275,93051600,924495,0,S,22600,400
1276,93051600,924496,0,S,22600,400
1277,93051600,924497,0,S,22600,500
1278,93051600,924498,0,S,22600,300
1279,93051600,924518,0,S,22600,400
